[DEBUG] 2021-02-19 18:52:27.184 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-19 18:52:27.197 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-19 18:52:27.205 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-19 18:52:27.349 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-19 18:52:27.354 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-19 18:52:27.663 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-19 18:52:27.677 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-19 18:52:27.691 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-19 18:52:28.225 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-19 18:52:28.254 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-19 18:52:28.255 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2021-02-19 18:52:28.307 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@29182679
[DEBUG] 2021-02-19 18:52:28.307 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@29182679
[DEBUG] 2021-02-19 18:52:28.307 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@682c1e93
[DEBUG] 2021-02-19 18:52:28.309 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@682c1e93
[DEBUG] 2021-02-19 18:52:28.309 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@682c1e93
[DEBUG] 2021-02-19 18:52:28.309 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@715fb77
[DEBUG] 2021-02-19 18:52:28.309 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@715fb77
[DEBUG] 2021-02-19 18:52:28.309 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@715fb77
[DEBUG] 2021-02-19 18:52:28.310 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1eea9d2d
[DEBUG] 2021-02-19 18:52:28.310 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1eea9d2d
[DEBUG] 2021-02-19 18:52:28.313 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1eea9d2d
[DEBUG] 2021-02-19 18:52:28.313 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6d91790b
[DEBUG] 2021-02-19 18:52:28.313 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6d91790b
[DEBUG] 2021-02-19 18:52:28.314 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6d91790b
[DEBUG] 2021-02-19 18:52:28.314 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4b1c0397
[DEBUG] 2021-02-19 18:52:28.314 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4b1c0397
[DEBUG] 2021-02-19 18:52:28.314 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4b1c0397
[DEBUG] 2021-02-19 18:52:28.315 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2d84cb86
[DEBUG] 2021-02-19 18:52:28.315 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2d84cb86
[DEBUG] 2021-02-19 18:52:28.315 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4482469c
[DEBUG] 2021-02-19 18:52:28.316 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4482469c
[DEBUG] 2021-02-19 18:52:28.316 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@4b1abd11
[DEBUG] 2021-02-19 18:52:28.316 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@4b1abd11
[DEBUG] 2021-02-19 18:52:28.317 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@40021799
[DEBUG] 2021-02-19 18:52:28.317 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4bdcaf36
[DEBUG] 2021-02-19 18:52:28.322 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@5d39f2d8
[DEBUG] 2021-02-19 18:52:28.322 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@5d39f2d8
[DEBUG] 2021-02-19 18:52:28.322 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@71c905a3
[DEBUG] 2021-02-19 18:52:28.323 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@71c905a3
[DEBUG] 2021-02-19 18:52:28.326 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@1d207fad
[DEBUG] 2021-02-19 18:52:28.327 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@1d207fad
[DEBUG] 2021-02-19 18:52:28.327 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@488b50ec
[DEBUG] 2021-02-19 18:52:28.327 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@488b50ec
[DEBUG] 2021-02-19 18:52:28.330 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6d2d99fc
[DEBUG] 2021-02-19 18:52:28.330 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6d2d99fc
[DEBUG] 2021-02-19 18:52:28.330 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@3a095ec0
[DEBUG] 2021-02-19 18:52:28.330 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@3a095ec0
[DEBUG] 2021-02-19 18:52:28.331 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7e8a46b7
[DEBUG] 2021-02-19 18:52:28.331 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7e8a46b7
[DEBUG] 2021-02-19 18:52:28.332 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@1e6308a9
[DEBUG] 2021-02-19 18:52:28.334 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@1e6308a9
[DEBUG] 2021-02-19 18:52:28.335 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@783ec989
[DEBUG] 2021-02-19 18:52:28.336 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@783ec989
[DEBUG] 2021-02-19 18:52:28.336 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@3241713e
[DEBUG] 2021-02-19 18:52:28.336 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3241713e
[DEBUG] 2021-02-19 18:52:28.337 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@18324f97
[DEBUG] 2021-02-19 18:52:28.337 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@18324f97
[DEBUG] 2021-02-19 18:52:28.338 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@2687f956
[DEBUG] 2021-02-19 18:52:28.340 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2687f956
[DEBUG] 2021-02-19 18:52:28.340 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2687f956
[DEBUG] 2021-02-19 18:52:28.340 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@4650a407
[DEBUG] 2021-02-19 18:52:28.342 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@245a060f
[DEBUG] 2021-02-19 18:52:28.342 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@245a060f
[DEBUG] 2021-02-19 18:52:28.342 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@245a060f
[DEBUG] 2021-02-19 18:52:28.349 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@2d195ee4
[DEBUG] 2021-02-19 18:52:28.349 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@6b1e7ad3
[DEBUG] 2021-02-19 18:52:28.350 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@6b1e7ad3
[DEBUG] 2021-02-19 18:52:28.350 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@5972d253
[DEBUG] 2021-02-19 18:52:28.350 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@5972d253
[DEBUG] 2021-02-19 18:52:28.351 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@551de37d
[DEBUG] 2021-02-19 18:52:28.351 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@551de37d
[DEBUG] 2021-02-19 18:52:28.352 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@7a18e8d
[DEBUG] 2021-02-19 18:52:28.352 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@7a18e8d
[DEBUG] 2021-02-19 18:52:28.352 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@4c9e38
[DEBUG] 2021-02-19 18:52:28.352 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@4c9e38
[DEBUG] 2021-02-19 18:52:28.353 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@5f14a673
[DEBUG] 2021-02-19 18:52:28.353 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@40ab8a8
[DEBUG] 2021-02-19 18:52:28.353 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@40ab8a8
[DEBUG] 2021-02-19 18:52:28.353 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@40ab8a8
[DEBUG] 2021-02-19 18:52:28.354 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@6dd93a21
[DEBUG] 2021-02-19 18:52:28.354 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@6dd93a21
[DEBUG] 2021-02-19 18:52:28.354 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@6dd93a21
[DEBUG] 2021-02-19 18:52:28.354 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@37095ded
[DEBUG] 2021-02-19 18:52:28.354 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@7923f5b3
[DEBUG] 2021-02-19 18:52:28.355 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@340b7ef6
[DEBUG] 2021-02-19 18:52:28.355 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@340b7ef6
[DEBUG] 2021-02-19 18:52:28.355 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@340b7ef6
[DEBUG] 2021-02-19 18:52:28.356 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@7b208b45
[DEBUG] 2021-02-19 18:52:28.356 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@7b208b45
[DEBUG] 2021-02-19 18:52:28.357 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@7b208b45
[DEBUG] 2021-02-19 18:52:28.357 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@3e83c18
[DEBUG] 2021-02-19 18:52:28.357 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@c446b14
[DEBUG] 2021-02-19 18:52:28.358 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@75b3673
[DEBUG] 2021-02-19 18:52:28.361 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@75b3673
[DEBUG] 2021-02-19 18:52:28.363 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@31fc71ab
[DEBUG] 2021-02-19 18:52:28.363 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@425d5d46
[DEBUG] 2021-02-19 18:52:28.363 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@425d5d46
[DEBUG] 2021-02-19 18:52:28.364 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@76954a33
[DEBUG] 2021-02-19 18:52:28.364 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@76954a33
[DEBUG] 2021-02-19 18:52:28.364 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@7bef452c
[DEBUG] 2021-02-19 18:52:28.364 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@4bee18dc
[DEBUG] 2021-02-19 18:52:28.365 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@3c89bb12
[DEBUG] 2021-02-19 18:52:28.366 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@1bc425e7
[DEBUG] 2021-02-19 18:52:28.366 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@1bc425e7
[DEBUG] 2021-02-19 18:52:28.373 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@6ceb7b5e
[DEBUG] 2021-02-19 18:52:28.373 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@7dd00705
[DEBUG] 2021-02-19 18:52:28.373 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@f14e5bf
[DEBUG] 2021-02-19 18:52:28.373 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@d176a31
[DEBUG] 2021-02-19 18:52:28.373 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@3a91d146
[DEBUG] 2021-02-19 18:52:28.373 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@4784013e
[DEBUG] 2021-02-19 18:52:28.373 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@6f952d6c
[DEBUG] 2021-02-19 18:52:28.373 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@5965844d
[DEBUG] 2021-02-19 18:52:28.416 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2021-02-19 18:52:28.417 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2021-02-19 18:52:28.417 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-02-19 18:52:28.417 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-02-19 18:52:28.418 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2021-02-19 18:52:28.419 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2021-02-19 18:52:28.419 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2021-02-19 18:52:28.419 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-02-19 18:52:28.420 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2021-02-19 18:52:28.420 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2021-02-19 18:52:28.420 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2021-02-19 18:52:28.421 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2021-02-19 18:52:28.421 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-02-19 18:52:28.421 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2021-02-19 18:52:28.425 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/TestJSONGenerator
[INFO ] 2021-02-19 18:52:28.428 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2021-02-19 18:52:28.428 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2021-02-19 18:52:28.555 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2021-02-19 18:52:29.034 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.22
      major : 8
      minor : 0
[DEBUG] 2021-02-19 18:52:29.034 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.16 (Revision: 34cbc6bc61f72836e26327537a432d6db7c77de6)
      major : 8
      minor : 0
[DEBUG] 2021-02-19 18:52:29.034 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2021-02-19 18:52:29.080 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2021-02-19 18:52:29.101 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2021-02-19 18:52:29.135 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2021-02-19 18:52:29.170 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2021-02-19 18:52:29.174 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@6014a9ba] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@acdcf71]
[DEBUG] 2021-02-19 18:52:29.213 [main] AnnotationBinder - Binding entity from annotated class: com.pjcraig.entity.User
[DEBUG] 2021-02-19 18:52:29.232 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2021-02-19 18:52:29.236 [main] EntityBinder - Import with entity name User
[DEBUG] 2021-02-19 18:52:29.241 [main] EntityBinder - Bind entity com.pjcraig.entity.User on table user
[DEBUG] 2021-02-19 18:52:29.261 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-02-19 18:52:29.262 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2021-02-19 18:52:29.270 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.pjcraig.entity.User:id]
[DEBUG] 2021-02-19 18:52:29.271 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2021-02-19 18:52:29.272 [main] PropertyBinder - Building property id
[DEBUG] 2021-02-19 18:52:29.274 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2021-02-19 18:52:29.274 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=email, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-02-19 18:52:29.274 [main] PropertyBinder - MetadataSourceProcessor property email with lazy=false
[DEBUG] 2021-02-19 18:52:29.274 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.pjcraig.entity.User:email]
[DEBUG] 2021-02-19 18:52:29.277 [main] SimpleValueBinder - building SimpleValue for email
[DEBUG] 2021-02-19 18:52:29.281 [main] PropertyBinder - Building property email
[DEBUG] 2021-02-19 18:52:29.281 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=nickname, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-02-19 18:52:29.281 [main] PropertyBinder - MetadataSourceProcessor property nickname with lazy=false
[DEBUG] 2021-02-19 18:52:29.281 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.pjcraig.entity.User:nickname]
[DEBUG] 2021-02-19 18:52:29.281 [main] SimpleValueBinder - building SimpleValue for nickname
[DEBUG] 2021-02-19 18:52:29.281 [main] PropertyBinder - Building property nickname
[DEBUG] 2021-02-19 18:52:29.281 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=password, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-02-19 18:52:29.282 [main] PropertyBinder - MetadataSourceProcessor property password with lazy=false
[DEBUG] 2021-02-19 18:52:29.282 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.pjcraig.entity.User:password]
[DEBUG] 2021-02-19 18:52:29.282 [main] SimpleValueBinder - building SimpleValue for password
[DEBUG] 2021-02-19 18:52:29.282 [main] PropertyBinder - Building property password
[DEBUG] 2021-02-19 18:52:29.283 [main] SimpleValueBinder - Starting fillSimpleValue for id
[DEBUG] 2021-02-19 18:52:29.283 [main] SimpleValueBinder - Starting fillSimpleValue for email
[DEBUG] 2021-02-19 18:52:29.283 [main] SimpleValueBinder - Starting fillSimpleValue for nickname
[DEBUG] 2021-02-19 18:52:29.283 [main] SimpleValueBinder - Starting fillSimpleValue for password
[DEBUG] 2021-02-19 18:52:29.284 [main] PrimaryKey - Forcing column [id] to be non-null as it is part of the primary key for table [user]
[DEBUG] 2021-02-19 18:52:29.312 [main] SessionFactoryImpl - Building session factory
[DEBUG] 2021-02-19 18:52:29.317 [main] Settings - SessionFactory name : null
[DEBUG] 2021-02-19 18:52:29.317 [main] Settings - Automatic flush during beforeCompletion(): enabled
[DEBUG] 2021-02-19 18:52:29.317 [main] Settings - Automatic session close at end of transaction: disabled
